-7073.86,1329.93
-7134.05,1344.26
-7225.77,1301.27
-7268.77,1269.74
-7320.36,1235.35
-7403.48,1218.15
-7460.80,1209.55
-7518.13,1169.42
-7558.26,1094.90
-7612.71,1026.11
-7718.77,942.99
-7790.42,922.93
-7867.81,874.20
-7968.13,814.01
-8054.11,776.75
-8125.77,736.62
-8280.55,722.29
-8446.79,713.69
-8538.51,756.69
-8624.49,857.00
-8658.89,925.79
-8673.22,1008.91
-8656.02,1129.30
-8650.29,1264.01
-8630.23,1350.00
-8627.36,1456.05
-8661.76,1521.97
-8710.48,1602.22
-8736.28,1676.75
-8687.55,1736.94
-8610.16,1808.59
-8578.64,1908.91
-8561.44,2003.50
-8532.78,2112.41
-8512.71,2221.33
-8478.32,2341.71
-8469.72,2444.90
-8441.06,2571.01
-8415.26,2682.79
-8363.67,2791.71
-8300.61,2889.16
-8251.88,2960.82
-8203.16,3064.00
-8148.70,3175.79
-8097.11,3238.84
-8051.25,3304.77
-8028.32,3370.69
-7962.40,3528.33
-7910.80,3608.59
-7873.54,3694.57
-7922.27,3743.30
-7968.13,3777.69
-7993.92,3840.75
-7979.59,3889.48
-7939.47,3941.07
-7873.54,3989.80
-7819.08,4058.59
-7764.62,4138.84
-7744.56,4201.90
-7695.84,4282.15
-7644.24,4373.87
-7581.19,4439.79
-7552.52,4511.45
-7503.80,4597.44
-7489.47,4677.69
-7472.27,4746.48
-7446.47,4809.54
-7363.35,4849.67
-7274.50,4815.27
-7245.84,4755.08
-7217.17,4666.23
-7205.71,4545.85
-7185.65,4391.07
-7174.18,4233.43
-7122.59,4055.72
-7025.14,3863.68
-6962.08,3786.29
-6876.09,3720.37
-6795.84,3694.57
-6658.26,3674.51
-6477.69,3700.31
-6254.12,3769.10
-6116.54,3826.42
-6001.89,3866.55
-5878.64,3912.41
-5763.99,3918.14
-5700.94,3840.75
-5589.15,3708.91
-5549.03,3640.12
-5457.31,3508.27
-5359.86,3347.76
-5205.08,3218.78
-5101.89,3109.86
-4990.11,3015.28
-4921.32,2955.09
-4855.40,2906.36
-4723.55,2877.70
-4597.44,2889.16
-4522.92,2880.56
-4416.86,2857.63
-4391.07,2777.38
-4514.32,2654.13
-4577.37,2553.81
-4600.30,2404.77
-4623.23,2235.66
-4657.63,2152.54
-4746.48,2052.22
-4829.60,2012.10
-4975.78,1974.83
-5104.76,1911.78
-5285.33,1822.92
-5445.84,1748.40
-5597.75,1725.47
-5741.06,1665.28
-5924.50,1587.89
-6053.48,1536.30
-6165.27,1513.37
-6342.97,1484.71
-6572.27,1427.38
-6729.91,1381.52
-6850.30,1344.26
-6950.61,1315.60
-7039.47,1301.27
